ImageID,OriginalURL,OriginalLandingURL,XMin,YMin,XMax,YMax
003c30b02d4fb5a5,https://farm6.staticflickr.com/49/105458579_632f633bff_o.jpg,https://www.flickr.com/photos/idogcow/105458579,0.455357,0.65896,0.690476,0.811175
003c30b02d4fb5a5,https://farm6.staticflickr.com/49/105458579_632f633bff_o.jpg,https://www.flickr.com/photos/idogcow/105458579,0.110119,0.672447,0.318452,0.749518
003c30b02d4fb5a5,https://farm6.staticflickr.com/49/105458579_632f633bff_o.jpg,https://www.flickr.com/photos/idogcow/105458579,0.422619,0.651252,0.669643,0.793834
003c30b02d4fb5a5,https://farm6.staticflickr.com/49/105458579_632f633bff_o.jpg,https://www.flickr.com/photos/idogcow/105458579,0.0,0.003854,0.991071,0.984586
003c30b02d4fb5a5,https://farm6.staticflickr.com/49/105458579_632f633bff_o.jpg,https://www.flickr.com/photos/idogcow/105458579,0.139881,0.707129,0.467262,0.843931
000749422e6e4b04,https://farm5.staticflickr.com/8594/15943608342_cc0c26ebcc_o.jpg,https://www.flickr.com/photos/peterblu/15943608342/,0.004375,0.355833,0.68,0.726667
000749422e6e4b04,https://farm5.staticflickr.com/8594/15943608342_cc0c26ebcc_o.jpg,https://www.flickr.com/photos/peterblu/15943608342/,0.005,0.0,0.999375,0.999167
006afe56d09e8a25,https://farm6.staticflickr.com/5263/5611560314_2e42776cee_o.jpg,https://www.flickr.com/photos/moneyblognewz/5611560314,0.45875,0.4606,0.543125,0.999062
006afe56d09e8a25,https://farm6.staticflickr.com/5263/5611560314_2e42776cee_o.jpg,https://www.flickr.com/photos/moneyblognewz/5611560314,0.775,0.439962,0.800625,0.50469
f590675eba6f203f,https://c8.staticflickr.com/4/3575/3827952975_320763fee8_o.jpg,https://www.flickr.com/photos/s_w_ellis/3827952975,0.334852,0.321306,0.740319,0.420962
f590675eba6f203f,https://c8.staticflickr.com/4/3575/3827952975_320763fee8_o.jpg,https://www.flickr.com/photos/s_w_ellis/3827952975,0.36902,0.101375,0.612756,0.431271
f590675eba6f203f,https://c8.staticflickr.com/4/3575/3827952975_320763fee8_o.jpg,https://www.flickr.com/photos/s_w_ellis/3827952975,0.031891,0.020619,0.892938,0.946735
14a298d2c16a010d,https://c6.staticflickr.com/8/7225/13363060845_fff9cb0709_o.jpg,https://www.flickr.com/photos/32737303@N02/13363060845,0.0,0.075188,0.4,0.817043
14a298d2c16a010d,https://c6.staticflickr.com/8/7225/13363060845_fff9cb0709_o.jpg,https://www.flickr.com/photos/32737303@N02/13363060845,0.123333,0.045113,0.995,0.847118
4005405cc957686e,https://c7.staticflickr.com/4/3489/3290357796_5659ce2848_o.jpg,https://www.flickr.com/photos/ericwahlforss/3290357796/,0.65,0.275,0.81,0.45375
4005405cc957686e,https://c7.staticflickr.com/4/3489/3290357796_5659ce2848_o.jpg,https://www.flickr.com/photos/ericwahlforss/3290357796/,0.0,0.0,0.858333,0.99875
008e21d5e838a182,https://farm3.staticflickr.com/7362/12143702774_a483434d82_o.jpg,https://www.flickr.com/photos/donaldmctim/12143702774,0.315625,0.014062,0.721875,0.976562
01be6a665e5786ae,https://c7.staticflickr.com/8/7422/9871859223_1a41ddd938_o.jpg,https://www.flickr.com/photos/dlr_de/9871859223,0.238125,0.447467,0.321875,0.871482
00d7e221b663f166,https://farm7.staticflickr.com/4059/4357076130_5328309262_o.jpg,https://www.flickr.com/photos/gsi-r/4357076130,0.098462,0.13099,0.273846,0.904153
00d7e221b663f166,https://farm7.staticflickr.com/4059/4357076130_5328309262_o.jpg,https://www.flickr.com/photos/gsi-r/4357076130,0.233846,0.102236,0.387692,0.792332
00d7e221b663f166,https://farm7.staticflickr.com/4059/4357076130_5328309262_o.jpg,https://www.flickr.com/photos/gsi-r/4357076130,0.353846,0.070288,0.492308,0.699681
00d7e221b663f166,https://farm7.staticflickr.com/4059/4357076130_5328309262_o.jpg,https://www.flickr.com/photos/gsi-r/4357076130,0.566154,0.204473,0.909231,0.744409
07c0246d01aaee79,https://c2.staticflickr.com/9/8421/7678533158_9f4e68ec9a_o.jpg,https://www.flickr.com/photos/transitomedellin/7678533158,0.099698,0.036939,0.924471,0.74934
00a84a505ddc99be,https://c7.staticflickr.com/8/7458/12305746724_7f3ba1bc0e_o.jpg,https://www.flickr.com/photos/bibliotheque-leschampslibres-rennes/12305746724,0.51937,0.607813,0.664649,0.884375
00a84a505ddc99be,https://c7.staticflickr.com/8/7458/12305746724_7f3ba1bc0e_o.jpg,https://www.flickr.com/photos/bibliotheque-leschampslibres-rennes/12305746724,0.387409,0.671875,0.497579,0.827344
00a84a505ddc99be,https://c7.staticflickr.com/8/7458/12305746724_7f3ba1bc0e_o.jpg,https://www.flickr.com/photos/bibliotheque-leschampslibres-rennes/12305746724,0.035109,0.207031,0.320823,0.645312
